user_id,tenant_id,email,role,created_at,last_login_at
8f2ac141-2e99-4ef9-81a9-0594ac0c3b41,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user1@tenant_01.com,,2024-12-25 10:00:00,2025-01-03 15:00:00
6b4365ed-8d44-4f29-b38a-3ad1e53e58f3,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user2@tenant_01.com,,2024-12-17 21:00:00,2025-01-02 17:00:00
83a89954-dfb0-4134-a533-74acaa9e0011,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user3@tenant_01.com,viewer,2025-01-05 22:00:00,2025-01-06 19:00:00
7ad49ffe-39ff-449f-a46b-42d4b911c326,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user4@tenant_01.com,,2025-01-21 14:00:00,2025-01-02 02:00:00
7c8a1d30-99a7-454c-b49f-91597847dc60,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user5@tenant_01.com,viewer,2025-01-14 22:00:00,2025-01-11 02:00:00
89863faa-f472-4c62-9c89-e0a68d9d269c,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user6@tenant_01.com,admin,2025-01-03 20:00:00,2025-01-10 21:00:00
f1e45feb-a2b4-48a8-a746-8deebf1d0bee,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user7@tenant_01.com,,2025-01-02 22:00:00,2025-01-07 21:00:00
c699eea8-85af-4880-a28f-32afbce34ae7,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user8@tenant_01.com,viewer,2024-12-16 14:00:00,2025-01-06 05:00:00
b78bcec3-f2e8-49ac-b3ff-dbe4c3ea0867,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user9@tenant_01.com,admin,2025-01-15 01:00:00,2025-01-04 09:00:00
6248398e-4f25-4ae4-a579-c461737aff7f,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user10@tenant_01.com,editor,2024-12-30 12:00:00,2025-01-07 15:00:00
6d4bf102-a8ab-4272-8544-b2f5c05cd4e1,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user11@tenant_01.com,admin,2024-12-25 14:00:00,2025-01-07 17:00:00
aa644e3f-7ee3-4139-9434-c7af0dfe15da,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user12@tenant_01.com,viewer,2024-12-23 13:00:00,2025-01-09 08:00:00
882ff3ab-b0c7-4f3d-b590-e701845a30ce,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user13@tenant_01.com,,2025-01-06 21:00:00,2025-01-07 07:00:00
612dda15-e82f-41ee-953b-d81b9398b493,2c0dfb4c-c826-4936-9ac1-ca9e935ea176,user14@tenant_01.com,editor,2024-12-20 05:00:00,2025-01-03 07:00:00
5d7b447c-e486-4725-92a9-f885aaf41a88,fbe7210f-9f35-4b69-854c-4d633faf9118,user1@tenant_02.com,editor,2024-12-15 15:00:00,2025-01-10 05:00:00
6ed01664-fc33-4446-9338-e6621ba1e8c9,fbe7210f-9f35-4b69-854c-4d633faf9118,user2@tenant_02.com,viewer,2025-01-02 00:00:00,2025-01-03 13:00:00
0ca221b4-227c-4639-80a6-6d49d6d144e9,fbe7210f-9f35-4b69-854c-4d633faf9118,user3@tenant_02.com,viewer,2025-01-23 18:00:00,2025-01-06 04:00:00
7580378d-63fb-4bc0-8fa0-cae98bc743e3,fbe7210f-9f35-4b69-854c-4d633faf9118,user4@tenant_02.com,admin,2025-01-13 21:00:00,2025-01-09 12:00:00
001485e7-034d-4e1f-a241-e008bfdc9d0e,fbe7210f-9f35-4b69-854c-4d633faf9118,user5@tenant_02.com,,2025-01-09 12:00:00,2025-01-02 15:00:00
5610e7c2-825c-4da6-bedb-c17c26c1d5ee,fbe7210f-9f35-4b69-854c-4d633faf9118,user6@tenant_02.com,,2024-12-18 06:00:00,2025-01-02 06:00:00
306bd1d2-c560-4309-a785-24276d8dcd6e,fbe7210f-9f35-4b69-854c-4d633faf9118,user7@tenant_02.com,,2024-12-25 03:00:00,2025-01-06 19:00:00
c74e7159-b93c-4075-9020-a93ce8548c0e,fbe7210f-9f35-4b69-854c-4d633faf9118,user8@tenant_02.com,admin,2024-12-21 00:00:00,2025-01-10 04:00:00
75b4759f-1132-4ad3-a21f-cf14fdc94755,fbe7210f-9f35-4b69-854c-4d633faf9118,user9@tenant_02.com,admin,2025-01-07 19:00:00,2025-01-01 02:00:00
7d637e69-c1f0-48fe-9539-87b73af6c8cb,fbe7210f-9f35-4b69-854c-4d633faf9118,user10@tenant_02.com,editor,2025-01-23 12:00:00,2025-01-03 20:00:00
52c6fb3f-a641-4e7e-a5f5-6fbfa5e59ebb,fbe7210f-9f35-4b69-854c-4d633faf9118,user11@tenant_02.com,viewer,2025-01-06 19:00:00,2025-01-06 15:00:00
722bf642-6a51-4de7-a4f3-4960f1291c72,fbe7210f-9f35-4b69-854c-4d633faf9118,user12@tenant_02.com,admin,2024-12-22 15:00:00,2025-01-08 15:00:00
bb2cf14b-18fd-4ddc-9fbf-ea1cad4f5284,fbe7210f-9f35-4b69-854c-4d633faf9118,user13@tenant_02.com,,2025-01-03 02:00:00,2025-01-03 03:00:00
0cb11831-04ce-4bc6-9096-79e2df1ce275,fbe7210f-9f35-4b69-854c-4d633faf9118,user14@tenant_02.com,viewer,2024-12-31 15:00:00,2025-01-03 16:00:00
ab513da6-5351-4ed5-8684-fb602fe45f21,fbe7210f-9f35-4b69-854c-4d633faf9118,user15@tenant_02.com,admin,2024-12-28 16:00:00,2025-01-06 04:00:00
e8a463a2-9b42-4b2f-afd1-22e15c63d78d,fbe7210f-9f35-4b69-854c-4d633faf9118,user16@tenant_02.com,admin,2025-01-17 09:00:00,2025-01-11 02:00:00
0b01be05-8080-4b8a-98b4-5b7c941297c4,b6efa079-4faf-44ea-bf24-7ab0c23305d6,user1@tenant_03.com,viewer,2025-01-17 11:00:00,2025-01-03 11:00:00
0da99c66-a0e8-42f2-bac5-41e6d59c43d5,b6efa079-4faf-44ea-bf24-7ab0c23305d6,user2@tenant_03.com,editor,2025-01-18 17:00:00,2025-01-09 10:00:00
